metric,area,comp,suff
mae,0.05,8.326278,19.372654
mae,0.075,9.864803,18.573735
mae,0.1,10.789628,18.05608
mae,0.15,12.325585,16.939385
mse,0.05,6.285927,24.484406
mse,0.075,8.191943,22.615729
mse,0.1,9.477202,21.476105
mse,0.15,11.763758,19.082904
