metric,area,comp,suff
mae,0.05,12.419824,17.29964
mae,0.075,13.796202,16.056161
mae,0.1,14.537031,15.189233
mae,0.15,15.862381,13.533061
mse,0.05,11.912808,19.789875
mse,0.075,14.081684,17.233728
mse,0.1,15.346858,15.543395
mse,0.15,17.774777,12.554457
