metric,area,comp,suff
mae,0.05,6.29943,21.877321
mae,0.075,7.810366,21.660873
mae,0.1,8.68726,21.506962
mae,0.15,10.156192,21.122812
mse,0.05,3.745715,30.67572
mse,0.075,5.291133,30.145014
mse,0.1,6.304388,29.795993
mse,0.15,8.162799,28.886357
