metric,area,comp,suff
mae,0.05,9.615569,18.496691
mae,0.075,11.286108,17.640048
mae,0.1,12.21253,17.071004
mae,0.15,13.654315,15.875973
mse,0.05,7.934389,22.495338
mse,0.075,10.116055,20.611237
mse,0.1,11.492728,19.408399
mse,0.15,13.791352,16.984488
