batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.652153,21.699032
0,mae,0,0.075,8.684437,22.004948
0,mae,0,0.1,10.013298,22.2386
0,mae,0,0.15,12.724186,22.447063
0,mse,0,0.05,4.281456,28.624508
0,mse,0,0.075,6.096336,29.13892
0,mse,0,0.1,7.516448,29.685997
0,mse,0,0.15,11.513645,29.948683
0,mae,1,0.05,7.268505,22.738087
0,mae,1,0.075,7.91284,22.895012
0,mae,1,0.1,8.689451,23.28298
0,mae,1,0.15,11.543172,23.473351
0,mse,1,0.05,4.339133,33.215813
0,mse,1,0.075,5.042644,32.728249
0,mse,1,0.1,5.751679,33.874641
0,mse,1,0.15,9.394167,34.032837
0,mae,2,0.05,7.542197,23.12746
0,mae,2,0.075,8.254016,24.226044
0,mae,2,0.1,9.081336,24.505062
0,mae,2,0.15,10.418127,24.707352
0,mse,2,0.05,4.672177,33.915039
0,mse,2,0.075,5.710787,37.837265
0,mse,2,0.1,6.119101,38.16045
0,mse,2,0.15,7.296652,38.316013
0,mae,3,0.05,7.864115,23.684189
0,mae,3,0.075,8.301771,23.824684
0,mae,3,0.1,9.267778,24.284262
0,mae,3,0.15,10.128185,24.432987
0,mse,3,0.05,5.010523,34.471714
0,mse,3,0.075,5.399514,34.674839
0,mse,3,0.1,6.604884,36.012062
0,mse,3,0.15,7.741659,36.497368
0,mae,4,0.05,6.735645,23.166403
0,mae,4,0.075,6.996667,23.528637
0,mae,4,0.1,7.589492,23.910145
0,mae,4,0.15,9.763043,24.229414
0,mse,4,0.05,3.261755,34.565437
0,mse,4,0.075,3.857717,35.285904
0,mse,4,0.1,4.681911,36.818027
0,mse,4,0.15,7.363555,38.096931
0,mae,5,0.05,5.813225,23.980177
0,mae,5,0.075,7.920554,24.244633
0,mae,5,0.1,7.746907,24.551987
0,mae,5,0.15,9.350722,25.166582
0,mse,5,0.05,3.071604,36.99736
0,mse,5,0.075,4.717399,36.792549
0,mse,5,0.1,4.342484,37.220169
0,mse,5,0.15,6.317513,38.733719
0,mae,6,0.05,6.429638,23.650738
0,mae,6,0.075,7.482817,23.743958
0,mae,6,0.1,8.111197,24.300304
0,mae,6,0.15,9.502409,25.166903
0,mse,6,0.05,3.564655,35.243904
0,mse,6,0.075,4.389756,35.157524
0,mse,6,0.1,4.965866,35.977455
0,mse,6,0.15,6.446657,37.323231
0,mae,7,0.05,7.631366,23.217554
0,mae,7,0.075,8.618603,23.385597
0,mae,7,0.1,9.511299,23.703123
0,mae,7,0.15,10.24189,24.464664
0,mse,7,0.05,5.174342,34.011139
0,mse,7,0.075,6.182978,34.256371
0,mse,7,0.1,7.75407,34.984589
