metric,area,comp,suff
mae,0.05,11.807603,27.592555
mae,0.075,13.808946,28.439196
mae,0.1,14.888612,29.000221
mae,0.15,16.439243,29.377441
mse,0.05,10.755804,47.219388
mse,0.075,14.081075,49.894932
mse,0.1,16.108625,51.678543
mse,0.15,19.273074,52.7582
