batch_index,metric,tau,area,comp,suff
0,mse,16,0.05,8.207783,51.931118
0,mse,16,0.075,10.002111,54.444252
0,mse,16,0.1,11.351912,58.308662
0,mse,16,0.15,11.139027,57.663361
0,mae,17,0.05,10.053186,28.829571
0,mae,17,0.075,11.202404,30.468361
0,mae,17,0.1,11.697554,31.02475
0,mae,17,0.15,11.999971,31.388548
0,mse,17,0.05,8.832867,46.973774
0,mse,17,0.075,11.214375,52.231079
0,mse,17,0.1,11.895504,54.047009
0,mse,17,0.15,12.39473,55.050491
0,mae,18,0.05,10.236568,27.762646
0,mae,18,0.075,11.080462,29.729399
0,mae,18,0.1,11.18692,29.967434
0,mae,18,0.15,11.771072,29.818432
0,mse,18,0.05,9.347416,43.818481
0,mse,18,0.075,10.866837,49.859947
0,mse,18,0.1,11.217106,51.243889
0,mse,18,0.15,12.885562,51.501793
0,mae,19,0.05,10.896939,28.175461
0,mae,19,0.075,10.983727,28.767179
0,mae,19,0.1,11.116972,28.591534
0,mae,19,0.15,11.835485,28.000822
0,mse,19,0.05,9.987391,45.028252
0,mse,19,0.075,10.965679,47.945995
0,mse,19,0.1,11.472778,48.15844
0,mse,19,0.15,12.964542,46.837692
0,mae,20,0.05,10.854429,27.849812
0,mae,20,0.075,11.41299,27.654497
0,mae,20,0.1,11.064049,27.34634
0,mae,20,0.15,12.562883,27.692827
0,mse,20,0.05,10.272259,45.298889
0,mse,20,0.075,11.506338,45.475201
0,mse,20,0.1,11.748093,45.890076
0,mse,20,0.15,14.420736,47.950996
0,mae,21,0.05,12.144598,26.057568
0,mae,21,0.075,11.919308,26.314514
0,mae,21,0.1,12.033407,26.233513
0,mae,21,0.15,12.684158,26.040445
0,mse,21,0.05,11.928778,41.063316
0,mse,21,0.075,12.678127,42.336693
0,mse,21,0.1,13.994463,43.596588
0,mse,21,0.15,15.396157,44.563904
0,mae,22,0.05,11.877152,26.039213
0,mae,22,0.075,11.659661,25.397955
0,mae,22,0.1,12.225319,25.635798
0,mae,22,0.15,13.233606,25.074219
0,mse,22,0.05,12.38291,41.197701
0,mse,22,0.075,12.717162,40.179359
0,mse,22,0.1,14.165726,41.450302
0,mse,22,0.15,17.159121,41.534576
0,mae,23,0.05,11.478622,25.669994
0,mae,23,0.075,11.750364,25.858038
0,mae,23,0.1,12.886362,26.229485
0,mae,23,0.15,13.228297,25.558956
0,mse,23,0.05,10.635974,40.600266
0,mse,23,0.075,12.27037,41.866936
0,mse,23,0.1,14.665305,42.787766
0,mse,23,0.15,16.600416,42.911591
1,mae,0,0.05,19.832523,26.276163
1,mae,0,0.075,20.064104,26.977173
1,mae,0,0.1,21.24699,27.795948
1,mae,0,0.15,23.0965,27.276913
1,mse,0,0.05,25.733143,42.498211
1,mse,0,0.075,26.068878,45.01923
1,mse,0,0.1,27.765808,48.295502
1,mse,0,0.15,31.70974,47.943909
1,mae,1,0.05,20.617004,25.946444
1,mae,1,0.075,21.784956,27.387505
1,mae,1,0.1,21.420614,28.06941
1,mae,1,0.15,24.458038,28.120159
1,mse,1,0.05,27.734301,41.017021
1,mse,1,0.075,30.416737,44.905609
1,mse,1,0.1,28.642427,47.898071
1,mse,1,0.15,36.041447,49.308918
1,mae,2,0.05,21.871559,25.648508
1,mae,2,0.075,23.03459,27.253746
1,mae,2,0.1,23.022854,27.973942
1,mae,2,0.15,23.935505,28.481319
1,mse,2,0.05,30.562222,39.800362
1,mse,2,0.075,33.176605,45.622009
1,mse,2,0.1,32.588314,48.805298
1,mse,2,0.15,35.745007,50.378326
1,mae,3,0.05,20.580118,26.710056
1,mae,3,0.075,23.54228,27.72217
1,mae,3,0.1,23.412769,28.337339
1,mae,3,0.15,24.911621,28.479824
1,mse,3,0.05,27.314959,42.527164
1,mse,3,0.075,34.063293,46.560688
1,mse,3,0.1,33.017937,49.857166
1,mse,3,0.15,36.762344,50.830231
1,mae,4,0.05,19.876211,26.966717
1,mae,4,0.075,22.762665,27.246443
1,mae,4,0.1,24.796446,28.383398
1,mae,4,0.15,26.094049,28.440201
1,mse,4,0.05,25.800137,44.556694
1,mse,4,0.075,32.60511,46.409676
1,mse,4,0.1,37.072704,50.539513
1,mse,4,0.15,39.861,51.402534
1,mae,5,0.05,20.349941,26.251005
1,mae,5,0.075,23.815283,26.935043
1,mae,5,0.1,25.045044,28.257973
1,mae,5,0.15,26.414118,28.71516
1,mse,5,0.05,26.991282,42.280647
1,mse,5,0.075,35.541451,44.735252
1,mse,5,0.1,37.122929,49.566616
1,mse,5,0.15,39.879539,50.82254
1,mae,6,0.05,21.904848,25.639755
1,mae,6,0.075,24.320454,26.403034
1,mae,6,0.1,25.764372,26.84133
1,mae,6,0.15,27.042511,27.701233
1,mse,6,0.05,30.367815,40.131683
1,mse,6,0.075,36.00386,43.169571
1,mse,6,0.1,39.255844,45.402451
1,mse,6,0.15,41.703587,48.68396
1,mae,7,0.05,21.584972,25.347179
1,mae,7,0.075,23.792171,26.418064
1,mae,7,0.1,25.310591,27.264391
1,mae,7,0.15,27.424984,28.089834
1,mse,7,0.05,30.384441,39.3946
1,mse,7,0.075,34.902542,43.375797
1,mse,7,0.1,37.232079,46.480335
1,mse,7,0.15,42.631489,49.286324
1,mae,8,0.05,21.19309,25.014715
1,mae,8,0.075,24.09482,26.110086
1,mae,8,0.1,25.382092,27.040928
1,mae,8,0.15,27.434315,27.92181
1,mse,8,0.05,29.990713,39.059666
1,mse,8,0.075,35.41745,43.152103
1,mse,8,0.1,37.554092,46.116581
1,mse,8,0.15,42.341892,48.032982
1,mae,9,0.05,21.105221,25.199732
1,mae,9,0.075,23.891994,26.035467
1,mae,9,0.1,24.690216,26.846949
1,mae,9,0.15,26.855223,26.847748
1,mse,9,0.05,29.568188,39.364441
1,mse,9,0.075,34.48159,42.491474
1,mse,9,0.1,35.722473,45.650517
1,mse,9,0.15,39.689041,45.92305
1,mae,10,0.05,20.486504,25.083393
1,mae,10,0.075,22.868368,25.756554
1,mae,10,0.1,24.528835,26.376337
1,mae,10,0.15,26.397013,26.101387
1,mse,10,0.05,27.242273,38.856903
1,mse,10,0.075,32.43346,40.532349
1,mse,10,0.1,35.998329,43.274376
1,mse,10,0.15,39.524719,42.443901
1,mae,11,0.05,21.329456,24.081102
1,mae,11,0.075,23.910851,24.538132
1,mae,11,0.1,25.134052,25.343136
1,mae,11,0.15,27.204668,26.057579
1,mse,11,0.05,30.071928,35.602921
1,mse,11,0.075,34.818604,37.789078
1,mse,11,0.1,37.274868,40.275143
1,mse,11,0.15,42.846825,43.329395
1,mae,12,0.05,21.525208,23.648428
1,mae,12,0.075,23.885574,24.392834
1,mae,12,0.1,24.626938,24.816601
1,mae,12,0.15,26.257553,25.637794
1,mse,12,0.05,30.072124,34.902252
1,mse,12,0.075,34.573196,37.994652
1,mse,12,0.1,36.756191,39.22781
1,mse,12,0.15,40.380051,41.697014
1,mae,13,0.05,21.17379,23.051903
1,mae,13,0.075,24.024036,23.761646
1,mae,13,0.1,24.895218,24.012421
1,mae,13,0.15,25.922348,24.553257
1,mse,13,0.05,29.186354,33.25354
1,mse,13,0.075,34.952576,35.890285
1,mse,13,0.1,37.274673,36.761082
1,mse,13,0.15,39.584358,38.190105
1,mae,14,0.05,21.479916,22.452488
1,mae,14,0.075,23.509525,22.82938
1,mae,14,0.1,24.833435,22.907095
1,mae,14,0.15,25.812424,22.717848
1,mse,14,0.05,29.436485,32.332558
1,mse,14,0.075,34.810394,33.01025
1,mse,14,0.1,38.64183,33.263611
1,mse,14,0.15,41.233727,32.768902
1,mae,15,0.05,20.917816,21.897068
1,mae,15,0.075,24.519295,22.935539
1,mae,15,0.1,25.227358,22.677803
1,mae,15,0.15,26.416809,22.23991
1,mse,15,0.05,28.837866,30.717781
1,mse,15,0.075,36.954269,34.313435
1,mse,15,0.1,39.532269,33.20475
1,mse,15,0.15,43.154045,31.481508
1,mae,16,0.05,21.115639,20.873425
1,mae,16,0.075,23.346352,20.255508
1,mae,16,0.1,24.347887,20.443441
1,mae,16,0.15,26.739115,20.768776
1,mse,16,0.05,30.636263,28.510977
1,mse,16,0.075,35.18335,27.63579
1,mse,16,0.1,37.497391,27.690861
1,mse,16,0.15,44.330719,28.587292
1,mae,17,0.05,21.796551,20.469334
1,mae,17,0.075,23.536411,20.798626
1,mae,17,0.1,25.726963,20.203997
1,mae,17,0.15,27.268131,20.145145
1,mse,17,0.05,30.870552,27.74897
1,mse,17,0.075,35.054539,28.551117
1,mse,17,0.1,40.857224,27.013344
1,mse,17,0.15,45.910744,26.14142
1,mae,18,0.05,22.655792,19.624718
1,mae,18,0.075,24.326834,19.324348
1,mae,18,0.1,25.894224,19.072563
1,mae,18,0.15,28.660645,19.657734
1,mse,18,0.05,33.364391,25.881319
1,mse,18,0.075,37.673782,25.196259
1,mse,18,0.1,42.281769,24.408428
1,mse,18,0.15,50.215839,24.833107
1,mae,19,0.05,22.210789,18.781654
1,mae,19,0.075,24.819593,18.418236
1,mae,19,0.1,26.524797,18.376625
1,mae,19,0.15,28.608196,18.34576
1,mse,19,0.05,31.992413,23.219528
1,mse,19,0.075,38.950569,22.615631
1,mse,19,0.1,43.540112,22.29298
1,mse,19,0.15,51.114738,22.217945
1,mae,20,0.05,23.00198,18.400093
1,mae,20,0.075,25.075336,17.27133
1,mae,20,0.1,26.768644,17.583155
1,mae,20,0.15,29.740788,17.781025
1,mse,20,0.05,33.557636,22.265806
1,mse,20,0.075,39.502106,20.039484
1,mse,20,0.1,43.689846,20.439333
1,mse,20,0.15,53.804375,21.185085
1,mae,21,0.05,21.888027,18.076283
1,mae,21,0.075,25.272671,18.280651
1,mae,21,0.1,27.301067,17.769497
1,mae,21,0.15,29.619541,17.100962
1,mse,21,0.05,31.827074,21.137775
1,mse,21,0.075,38.882339,22.229103
1,mse,21,0.1,45.268867,20.820248
1,mse,21,0.15,53.08942,19.520548
1,mae,22,0.05,21.740044,19.610519
1,mae,22,0.075,25.22028,18.681198
1,mae,22,0.1,27.350773,18.349827
1,mae,22,0.15,29.224689,17.794214
1,mse,22,0.05,32.139915,24.746067
1,mse,22,0.075,39.994835,22.864197
1,mse,22,0.1,45.096523,22.099358
1,mse,22,0.15,51.01376,20.823359
1,mae,23,0.05,20.595564,19.542442
