metric,area,comp,suff
mae,0.05,12.236622,26.845071
mae,0.075,14.26882,27.371811
mae,0.1,15.326284,27.670119
mae,0.15,16.894716,27.651203
mse,0.05,11.268336,44.678224
mse,0.075,14.660072,46.456833
mse,0.1,16.668252,47.520988
mse,0.15,19.917421,47.617646
