batch_index,metric,tau,area,comp,suff
0,mse,16,0.05,6.901101,27.944834
0,mse,16,0.075,8.574389,28.777744
0,mse,16,0.1,8.334956,30.037209
0,mse,16,0.15,9.438908,30.413593
0,mae,17,0.05,6.629904,22.731411
0,mae,17,0.075,8.029182,23.102621
0,mae,17,0.1,9.473266,23.019733
0,mae,17,0.15,10.581295,23.00495
0,mse,17,0.05,3.692268,30.553843
0,mse,17,0.075,5.309637,31.293034
0,mse,17,0.1,7.295311,31.309076
0,mse,17,0.15,8.434706,31.236526
0,mae,18,0.05,7.814152,22.414711
0,mae,18,0.075,9.065043,22.898434
0,mae,18,0.1,9.965963,22.986961
0,mae,18,0.15,11.684602,22.692636
0,mse,18,0.05,4.79122,30.026163
0,mse,18,0.075,5.999246,30.812572
0,mse,18,0.1,6.826276,30.926891
0,mse,18,0.15,9.286133,30.260624
0,mae,19,0.05,7.535003,20.539183
0,mae,19,0.075,9.468692,20.8167
0,mae,19,0.1,10.966188,20.96064
0,mae,19,0.15,10.524292,21.337082
0,mse,19,0.05,4.597738,26.526279
0,mse,19,0.075,6.525766,27.147766
0,mse,19,0.1,8.152229,27.300365
0,mse,19,0.15,7.802457,27.919802
0,mae,20,0.05,8.81945,21.858143
0,mae,20,0.075,9.740413,22.034077
0,mae,20,0.1,10.00421,22.416065
0,mae,20,0.15,10.428986,23.09552
0,mse,20,0.05,6.474838,29.296299
0,mse,20,0.075,7.403604,29.233049
0,mse,20,0.1,7.462421,30.112543
0,mse,20,0.15,8.110043,31.430643
0,mae,21,0.05,8.390233,21.587971
0,mae,21,0.075,9.055892,21.829357
0,mae,21,0.1,9.779924,22.020584
0,mae,21,0.15,10.918148,22.244408
0,mse,21,0.05,5.773593,28.563801
0,mse,21,0.075,6.707341,29.56115
0,mse,21,0.1,7.549352,30.013363
0,mse,21,0.15,8.692857,30.152674
0,mae,22,0.05,9.988684,20.616611
0,mae,22,0.075,11.155147,20.414955
0,mae,22,0.1,12.153241,20.440025
0,mae,22,0.15,12.481202,20.368441
0,mse,22,0.05,7.385288,26.27718
0,mse,22,0.075,9.190069,25.472137
0,mse,22,0.1,10.670823,24.96497
0,mse,22,0.15,11.851942,25.004074
0,mae,23,0.05,8.902781,21.489668
0,mae,23,0.075,10.694481,20.337135
0,mae,23,0.1,11.480062,20.405468
0,mae,23,0.15,12.862751,20.437494
0,mse,23,0.05,6.300174,27.818207
0,mse,23,0.075,8.49255,25.186577
0,mse,23,0.1,9.495083,25.24172
0,mse,23,0.15,11.399845,25.320322
1,mae,0,0.05,10.233298,21.595922
1,mae,0,0.075,10.80084,21.83453
1,mae,0,0.1,12.79071,21.487585
1,mae,0,0.15,12.570038,20.80822
1,mse,0,0.05,7.990964,29.97604
1,mse,0,0.075,9.155312,30.459908
1,mse,0,0.1,12.093135,29.919708
1,mse,0,0.15,12.302316,28.468229
1,mae,1,0.05,11.77068,20.878508
1,mae,1,0.075,13.199854,20.210758
1,mae,1,0.1,13.416428,20.050991
1,mae,1,0.15,15.119706,19.719067
1,mse,1,0.05,10.381552,27.519493
1,mse,1,0.075,12.233435,26.576302
1,mse,1,0.1,13.438734,26.255472
1,mse,1,0.15,16.336164,26.129803
1,mae,2,0.05,10.861641,19.847115
1,mae,2,0.075,11.81715,19.594734
1,mae,2,0.1,14.001507,19.806644
1,mae,2,0.15,16.040806,20.101826
1,mse,2,0.05,9.543015,25.785332
1,mse,2,0.075,10.630395,25.325581
1,mse,2,0.1,14.078811,25.572754
1,mse,2,0.15,18.09972,25.748768
1,mae,3,0.05,11.152269,20.193464
1,mae,3,0.075,12.803047,20.06312
1,mae,3,0.1,14.025793,20.166782
1,mae,3,0.15,14.696774,19.791824
1,mse,3,0.05,8.934722,26.343246
1,mse,3,0.075,11.92738,26.381187
1,mse,3,0.1,14.531801,26.818813
1,mse,3,0.15,15.219731,25.995689
1,mae,4,0.05,9.022978,20.857418
1,mae,4,0.075,11.288515,20.283886
1,mae,4,0.1,12.688087,19.75038
1,mae,4,0.15,14.672128,19.379967
1,mse,4,0.05,6.230356,27.729652
1,mse,4,0.075,9.0207,27.207218
1,mse,4,0.1,11.018939,25.907719
1,mse,4,0.15,14.824708,25.373093
1,mae,5,0.05,11.59781,20.941057
1,mae,5,0.075,13.238853,20.475395
1,mae,5,0.1,15.197586,20.286789
1,mae,5,0.15,16.594845,20.403969
1,mse,5,0.05,10.804214,28.482487
1,mse,5,0.075,13.088187,27.554039
1,mse,5,0.1,17.728502,27.481825
1,mse,5,0.15,19.364849,27.65218
1,mae,6,0.05,11.636173,20.676622
1,mae,6,0.075,14.678877,20.144571
1,mae,6,0.1,15.355436,20.073475
1,mae,6,0.15,18.068962,19.723875
1,mse,6,0.05,10.148819,27.888653
1,mse,6,0.075,14.519393,26.868324
1,mse,6,0.1,15.802774,27.055923
1,mse,6,0.15,22.222797,26.150229
1,mae,7,0.05,9.040727,21.047403
1,mae,7,0.075,12.221052,20.425318
1,mae,7,0.1,14.115479,20.460455
1,mae,7,0.15,16.41181,20.811069
1,mse,7,0.05,6.164896,29.481455
1,mse,7,0.075,11.328156,28.268143
1,mse,7,0.1,14.361572,28.440502
1,mse,7,0.15,19.160538,29.436924
1,mae,8,0.05,10.192991,20.276331
1,mae,8,0.075,12.539561,20.286005
1,mae,8,0.1,12.512707,19.619572
1,mae,8,0.15,15.805526,19.794724
1,mse,8,0.05,9.126284,26.333422
1,mse,8,0.075,12.036956,26.159542
1,mse,8,0.1,12.216972,24.58041
1,mse,8,0.15,16.792963,25.492218
1,mae,9,0.05,12.445247,20.494663
1,mae,9,0.075,13.939402,19.862976
1,mae,9,0.1,15.070433,19.830208
1,mae,9,0.15,17.649277,19.608543
1,mse,9,0.05,12.144992,27.922939
1,mse,9,0.075,14.079483,25.825058
1,mse,9,0.1,15.71553,25.607176
1,mse,9,0.15,20.846794,25.064913
1,mae,10,0.05,13.115316,20.395184
1,mae,10,0.075,13.862484,20.176886
1,mae,10,0.1,14.731176,20.142242
1,mae,10,0.15,15.766917,19.99633
1,mse,10,0.05,13.064744,26.99398
1,mse,10,0.075,13.737402,26.567318
1,mse,10,0.1,15.021494,26.576832
1,mse,10,0.15,16.240692,26.233814
1,mae,11,0.05,9.729572,20.780384
1,mae,11,0.075,12.455873,20.823242
1,mae,11,0.1,13.383583,21.023903
1,mae,11,0.15,16.792284,20.391308
1,mse,11,0.05,7.378046,26.744532
1,mse,11,0.075,11.148192,26.847221
1,mse,11,0.1,13.306087,27.609331
1,mse,11,0.15,18.749084,26.556742
1,mae,12,0.05,11.574494,20.924778
1,mae,12,0.075,12.963056,21.100321
1,mae,12,0.1,13.930089,20.873306
1,mae,12,0.15,16.902884,20.625725
1,mse,12,0.05,10.047182,27.331394
1,mse,12,0.075,11.990242,27.458031
1,mse,12,0.1,13.480375,26.74715
1,mse,12,0.15,18.500637,26.796959
1,mae,13,0.05,11.218443,20.863522
1,mae,13,0.075,12.968292,20.231464
1,mae,13,0.1,15.203383,20.239767
1,mae,13,0.15,19.150366,19.460497
1,mse,13,0.05,9.285958,27.757284
1,mse,13,0.075,12.205644,26.398132
1,mse,13,0.1,15.552584,26.379545
1,mse,13,0.15,25.177132,25.055956
1,mae,14,0.05,10.84174,20.277685
1,mae,14,0.075,13.693746,20.295738
1,mae,14,0.1,14.486156,20.032146
1,mae,14,0.15,16.14319,19.480274
1,mse,14,0.05,9.49786,26.533297
1,mse,14,0.075,13.995443,26.181664
1,mse,14,0.1,15.197105,25.388193
1,mse,14,0.15,18.075615,23.957199
1,mae,15,0.05,10.621774,21.218216
1,mae,15,0.075,13.454375,20.88176
1,mae,15,0.1,14.765064,21.043438
1,mae,15,0.15,17.753902,19.613319
1,mse,15,0.05,9.127979,28.473095
1,mse,15,0.075,15.126246,27.96879
1,mse,15,0.1,16.719048,28.516109
1,mse,15,0.15,21.506966,25.098156
1,mae,16,0.05,12.158082,20.296614
1,mae,16,0.075,13.959368,20.045895
1,mae,16,0.1,14.664021,19.819153
1,mae,16,0.15,16.713528,19.19441
1,mse,16,0.05,10.44854,26.191654
1,mse,16,0.075,13.41193,25.128374
1,mse,16,0.1,14.794335,24.892551
1,mse,16,0.15,18.532318,23.487267
1,mae,17,0.05,13.138231,20.677685
1,mae,17,0.075,13.979779,19.985483
1,mae,17,0.1,15.492895,19.219103
1,mae,17,0.15,17.648743,18.361876
1,mse,17,0.05,12.599566,27.020203
1,mse,17,0.075,13.76458,25.557495
1,mse,17,0.1,16.672668,23.439354
1,mse,17,0.15,20.368795,21.928886
1,mae,18,0.05,12.442684,20.018877
1,mae,18,0.075,14.462027,19.325583
1,mae,18,0.1,15.954623,18.868084
1,mae,18,0.15,19.006626,17.934196
1,mse,18,0.05,11.075625,25.886524
1,mse,18,0.075,15.366515,24.436878
1,mse,18,0.1,18.072823,23.59005
1,mse,18,0.15,23.693647,21.218998
1,mae,19,0.05,11.676704,19.746387
1,mae,19,0.075,13.695808,18.953079
1,mae,19,0.1,15.84642,19.085552
1,mae,19,0.15,17.330296,18.782139
1,mse,19,0.05,10.332275,24.578018
1,mse,19,0.075,13.219805,23.173546
1,mse,19,0.1,16.958916,23.44581
1,mse,19,0.15,20.573509,23.4123
1,mae,20,0.05,12.340198,19.643559
1,mae,20,0.075,13.87595,19.215775
1,mae,20,0.1,15.756305,19.700502
1,mae,20,0.15,16.359268,18.720503
1,mse,20,0.05,11.710834,24.901573
1,mse,20,0.075,13.964361,23.863035
1,mse,20,0.1,17.407957,24.972281
1,mse,20,0.15,18.443382,22.722885
1,mae,21,0.05,12.713522,19.967682
1,mae,21,0.075,14.529781,19.061064
1,mae,21,0.1,15.312286,18.811621
1,mae,21,0.15,16.910267,18.283363
1,mse,21,0.05,10.845594,25.619986
1,mse,21,0.075,14.444026,23.465673
1,mse,21,0.1,16.192471,22.871887
1,mse,21,0.15,20.591675,21.820221
1,mae,22,0.05,11.485046,20.066154
1,mae,22,0.075,13.226049,19.165459
1,mae,22,0.1,14.727936,18.201267
1,mae,22,0.15,16.775213,16.910175
1,mse,22,0.05,10.318553,25.451969
1,mse,22,0.075,13.378044,23.20944
1,mse,22,0.1,15.909389,20.888914
1,mse,22,0.15,20.709034,18.676189
1,mae,23,0.05,11.00477,20.231932
1,mae,23,0.075,12.449579,19.052765
1,mae,23,0.1,14.043997,18.582676
1,mae,23,0.15,16.28348,18.109383
1,mse,23,0.05,8.450495,26.501165
1,mse,23,0.075,11.309256,24.282711
1,mse,23,0.1,13.537046,22.762028
