batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,18.047718,18.734789
0,mae,0,0.075,18.254084,17.746565
0,mae,0,0.1,18.135645,16.972391
0,mae,0,0.15,18.116791,16.401562
0,mse,0,0.05,20.556805,21.63241
0,mse,0,0.075,21.839951,20.422918
0,mse,0,0.1,21.423462,18.843239
0,mse,0,0.15,21.363834,17.666426
0,mae,1,0.05,17.919632,17.673027
0,mae,1,0.075,17.8841,17.577011
0,mae,1,0.1,17.61105,16.993385
0,mae,1,0.15,17.843185,14.311255
0,mse,1,0.05,20.167046,18.889929
0,mse,1,0.075,19.899048,19.372551
0,mse,1,0.1,19.375877,18.796024
0,mse,1,0.15,20.329062,13.650263
0,mae,2,0.05,17.629253,17.549217
0,mae,2,0.075,17.585922,16.205761
0,mae,2,0.1,17.919861,16.279217
0,mae,2,0.15,17.17543,13.830678
0,mse,2,0.05,19.948788,18.782108
0,mse,2,0.075,19.261572,17.197254
0,mse,2,0.1,19.431007,17.243088
0,mse,2,0.15,18.840912,14.151234
0,mae,3,0.05,17.270273,17.712929
0,mae,3,0.075,17.311169,16.70822
0,mae,3,0.1,17.084557,17.299463
0,mae,3,0.15,17.288589,14.789845
0,mse,3,0.05,18.55444,19.402388
0,mse,3,0.075,18.800219,17.762417
0,mse,3,0.1,18.211039,19.443855
0,mse,3,0.15,18.543571,15.099835
0,mae,4,0.05,16.852341,17.047752
0,mae,4,0.075,17.418575,16.47633
0,mae,4,0.1,17.49263,16.394382
0,mae,4,0.15,17.324345,13.741591
0,mse,4,0.05,17.84687,18.161402
0,mse,4,0.075,18.586117,17.271515
0,mse,4,0.1,18.940744,16.822618
0,mse,4,0.15,19.204802,12.523123
0,mae,5,0.05,16.446032,18.380589
0,mae,5,0.075,17.053396,17.289112
0,mae,5,0.1,16.869602,16.544659
0,mae,5,0.15,15.819673,14.956356
0,mse,5,0.05,17.322763,20.497841
0,mse,5,0.075,19.000973,18.386869
0,mse,5,0.1,18.171177,16.912628
0,mse,5,0.15,16.017763,14.5631
0,mae,6,0.05,17.301619,17.303761
0,mae,6,0.075,16.05352,16.003555
0,mae,6,0.1,15.966061,15.126352
0,mae,6,0.15,17.169567,14.412983
0,mse,6,0.05,18.780704,18.587059
0,mse,6,0.075,16.834084,15.782906
0,mse,6,0.1,16.28318,14.300047
0,mse,6,0.15,18.966087,13.62761
0,mae,7,0.05,16.718056,17.413795
0,mae,7,0.075,17.228958,17.387547
0,mae,7,0.1,16.600077,16.540401
0,mae,7,0.15,17.268787,15.022959
0,mse,7,0.05,17.755962,19.001451
0,mse,7,0.075,18.899616,18.892776
0,mse,7,0.1,17.386551,16.928495
0,mse,7,0.15,18.663319,14.162964
0,mae,8,0.05,18.432053,16.471098
0,mae,8,0.075,18.45956,16.464241
0,mae,8,0.1,18.332531,15.367272
0,mae,8,0.15,18.197235,13.936993
0,mse,8,0.05,21.247271,16.660442
0,mse,8,0.075,21.870274,17.290833
0,mse,8,0.1,21.313227,15.034063
0,mse,8,0.15,20.408356,12.752682
0,mae,9,0.05,19.18285,16.791302
0,mae,9,0.075,18.747807,16.449978
0,mae,9,0.1,18.038925,15.324565
0,mae,9,0.15,17.320307,13.470026
0,mse,9,0.05,22.758301,17.35199
0,mse,9,0.075,21.860298,16.561312
0,mse,9,0.1,20.91098,14.959021
0,mse,9,0.15,19.257732,11.96343
0,mae,10,0.05,18.508514,15.509627
0,mae,10,0.075,18.806999,15.435725
0,mae,10,0.1,18.780077,14.761656
0,mae,10,0.15,17.165323,13.445595
0,mse,10,0.05,20.851208,15.605547
0,mse,10,0.075,21.388435,15.234678
0,mse,10,0.1,21.352894,14.483124
0,mse,10,0.15,18.119825,12.423239
0,mae,11,0.05,17.774883,15.845965
0,mae,11,0.075,17.988123,15.925577
0,mae,11,0.1,17.999344,14.480178
0,mae,11,0.15,17.375849,12.10334
0,mse,11,0.05,19.417755,16.181568
0,mse,11,0.075,20.116894,16.125435
0,mse,11,0.1,20.592594,12.912697
0,mse,11,0.15,19.028957,9.424464
0,mae,12,0.05,18.224352,16.577003
0,mae,12,0.075,19.454964,15.7694
0,mae,12,0.1,19.958344,15.139883
0,mae,12,0.15,18.719595,13.381638
0,mse,12,0.05,21.071039,17.619114
0,mse,12,0.075,22.761078,15.346519
0,mse,12,0.1,23.647207,14.029102
0,mse,12,0.15,20.711382,12.249658
0,mae,13,0.05,18.569454,16.137306
0,mae,13,0.075,18.912922,14.747553
0,mae,13,0.1,18.491188,13.76297
0,mae,13,0.15,18.49678,12.724417
0,mse,13,0.05,21.926125,16.336767
0,mse,13,0.075,22.258179,13.925062
0,mse,13,0.1,21.124348,12.106436
0,mse,13,0.15,20.485731,10.499521
0,mae,14,0.05,18.302599,16.370308
0,mae,14,0.075,18.845194,15.475672
0,mae,14,0.1,19.043423,14.129807
0,mae,14,0.15,18.288414,12.498258
0,mse,14,0.05,20.73708,17.105446
0,mse,14,0.075,21.939209,15.508112
0,mse,14,0.1,22.208012,12.839997
0,mse,14,0.15,20.780128,10.461093
0,mae,15,0.05,18.065208,17.744637
0,mae,15,0.075,19.02726,16.045286
0,mae,15,0.1,18.278048,15.085457
0,mae,15,0.15,17.541052,13.159554
0,mse,15,0.05,20.273899,19.830009
0,mse,15,0.075,22.760683,16.563723
0,mse,15,0.1,20.867346,14.690577
0,mse,15,0.15,19.684742,11.50425
0,mae,16,0.05,17.5651,17.845551
0,mae,16,0.075,17.80019,16.628239
0,mae,16,0.1,18.452614,15.449661
0,mae,16,0.15,17.592037,14.119493
0,mse,16,0.05,19.301311,19.956512
0,mse,16,0.075,20.183638,17.31045
0,mse,16,0.1,21.190956,15.357098
0,mse,16,0.15,19.587048,13.129741
0,mae,17,0.05,18.047234,17.41497
0,mae,17,0.075,18.274418,14.560991
0,mae,17,0.1,18.066433,14.608471
0,mae,17,0.15,16.727173,13.639548
0,mse,17,0.05,20.308331,19.086521
0,mse,17,0.075,21.202568,13.81703
0,mse,17,0.1,21.056892,13.351421
0,mse,17,0.15,18.172853,11.719356
0,mae,18,0.05,18.117392,16.699572
0,mae,18,0.075,17.977802,15.593498
0,mae,18,0.1,17.85837,14.595668
0,mae,18,0.15,17.938114,13.450747
0,mse,18,0.05,21.096331,17.839596
0,mse,18,0.075,20.644114,15.014154
0,mse,18,0.1,20.272552,13.269588
0,mse,18,0.15,20.802883,12.130843
0,mae,19,0.05,19.409109,17.058462
0,mae,19,0.075,19.075848,15.60643
0,mae,19,0.1,18.636028,15.143732
0,mae,19,0.15,17.673708,13.393131
0,mse,19,0.05,24.291611,18.531574
0,mse,19,0.075,23.692558,15.521524
0,mse,19,0.1,22.935989,14.691191
0,mse,19,0.15,20.827316,11.495712
0,mae,20,0.05,18.952084,16.170624
0,mae,20,0.075,19.071125,15.180457
0,mae,20,0.1,18.519325,14.066919
0,mae,20,0.15,18.348408,12.600353
0,mse,20,0.05,23.211594,16.690609
0,mse,20,0.075,23.986141,14.749112
0,mse,20,0.1,22.976576,12.776331
0,mse,20,0.15,22.815063,10.538759
0,mae,21,0.05,19.347286,17.411343
0,mae,21,0.075,19.384388,16.229156
0,mae,21,0.1,18.294157,14.604946
0,mae,21,0.15,18.185358,14.059586
0,mse,21,0.05,24.571659,19.175005
0,mse,21,0.075,25.328037,17.147078
0,mse,21,0.1,22.337025,14.121807
0,mse,21,0.15,22.445278,13.561846
0,mae,22,0.05,18.810289,18.791288
0,mae,22,0.075,18.420555,17.186682
0,mae,22,0.1,18.937315,15.800074
0,mae,22,0.15,18.613842,14.861979
0,mse,22,0.05,22.919342,21.610683
0,mse,22,0.075,22.296846,18.969387
0,mse,22,0.1,23.551525,16.084377
0,mse,22,0.15,22.49423,14.190247
0,mae,23,0.05,18.965492,19.01849
0,mae,23,0.075,18.41304,17.542606
0,mae,23,0.1,19.478537,15.638715
0,mae,23,0.15,20.349546,14.421677
0,mse,23,0.05,22.636517,21.552086
0,mse,23,0.075,22.245054,18.997356
0,mse,23,0.1,26.584484,15.582646
0,mse,23,0.15,28.338291,13.632582
1,mae,0,0.05,14.167212,19.414555
1,mae,0,0.075,15.172787,18.75856
1,mae,0,0.1,16.676235,17.28723
1,mae,0,0.15,17.271008,15.307711
1,mse,0,0.05,14.630212,25.195704
1,mse,0,0.075,16.128248,23.67333
1,mse,0,0.1,18.222916,20.662975
1,mse,0,0.15,20.011017,16.214725
1,mae,1,0.05,13.433066,19.394026
1,mae,1,0.075,14.097808,18.105492
1,mae,1,0.1,15.412264,17.456902
1,mae,1,0.15,17.039057,15.638443
1,mse,1,0.05,13.396074,24.775814
1,mse,1,0.075,14.15885,21.721073
1,mse,1,0.1,16.483467,20.256433
1,mse,1,0.15,19.297066,15.922022
1,mae,2,0.05,14.046897,19.029434
1,mae,2,0.075,14.52998,17.520428
1,mae,2,0.1,14.983666,16.520823
1,mae,2,0.15,16.248734,15.082182
1,mse,2,0.05,13.482395,22.915314
1,mse,2,0.075,14.876366,20.539467
1,mse,2,0.1,15.49575,18.436275
1,mse,2,0.15,17.659044,14.932995
1,mae,3,0.05,14.057119,18.530739
1,mae,3,0.075,15.202754,17.424606
1,mae,3,0.1,14.53231,17.098679
1,mae,3,0.15,16.201542,15.289625
1,mse,3,0.05,13.309416,22.132442
1,mse,3,0.075,15.177362,19.954681
1,mse,3,0.1,14.050892,18.563389
1,mse,3,0.15,17.504906,15.175158
1,mae,4,0.05,14.224549,19.387293
1,mae,4,0.075,14.711457,17.890125
1,mae,4,0.1,14.988977,17.577711
1,mae,4,0.15,15.978794,16.134644
1,mse,4,0.05,14.042665,24.611885
1,mse,4,0.075,14.431576,20.864742
1,mse,4,0.1,14.917706,21.099426
1,mse,4,0.15,16.830751,16.905832
1,mae,5,0.05,14.214756,19.127773
1,mae,5,0.075,15.087709,17.6143
1,mae,5,0.1,15.475969,16.669455
1,mae,5,0.15,15.351046,15.991865
1,mse,5,0.05,13.97138,23.903961
1,mse,5,0.075,15.064899,20.675951
1,mse,5,0.1,15.74292,18.092342
1,mse,5,0.15,15.940114,16.771187
1,mae,6,0.05,13.588406,18.356094
1,mae,6,0.075,15.227724,17.192104
1,mae,6,0.1,15.777277,16.620703
1,mae,6,0.15,16.542727,14.811644
1,mse,6,0.05,12.69463,22.086246
1,mse,6,0.075,15.394424,19.203108
1,mse,6,0.1,16.290575,18.118956
1,mse,6,0.15,17.442207,14.775892
1,mae,7,0.05,13.685223,18.684082
1,mae,7,0.075,15.07996,17.172552
1,mae,7,0.1,15.42463,16.815687
1,mae,7,0.15,16.114065,15.461856
1,mse,7,0.05,12.941122,22.208166
1,mse,7,0.075,15.266726,19.069551
1,mse,7,0.1,16.088671,18.381113
1,mse,7,0.15,18.007065,15.806127
1,mae,8,0.05,14.237864,20.031902
1,mae,8,0.075,14.729639,18.760864
1,mae,8,0.1,15.250616,17.263353
1,mae,8,0.15,16.447113,15.525183
1,mse,8,0.05,13.882642,24.767681
1,mse,8,0.075,15.514923,22.024551
1,mse,8,0.1,16.214714,18.960863
1,mse,8,0.15,18.802914,15.921525
1,mae,9,0.05,14.002026,19.514854
1,mae,9,0.075,14.682108,18.959724
1,mae,9,0.1,15.007472,18.074944
1,mae,9,0.15,15.89706,16.677597
1,mse,9,0.05,13.488029,24.808193
1,mse,9,0.075,14.339336,22.692266
1,mse,9,0.1,15.327107,20.556902
1,mse,9,0.15,18.409956,17.873943
1,mae,10,0.05,13.667271,19.270271
1,mae,10,0.075,14.607244,18.539812
1,mae,10,0.1,14.167197,17.470337
1,mae,10,0.15,15.366683,17.374802
1,mse,10,0.05,12.934465,23.787113
1,mse,10,0.075,14.330175,21.851513
1,mse,10,0.1,14.007746,20.441143
1,mse,10,0.15,16.710918,20.076061
1,mae,11,0.05,13.217922,19.328739
1,mae,11,0.075,13.666733,19.024223
1,mae,11,0.1,13.864237,18.424126
1,mae,11,0.15,15.07472,17.223652
1,mse,11,0.05,12.458153,24.675896
1,mse,11,0.075,12.55913,23.206287
1,mse,11,0.1,12.877554,22.061146
1,mse,11,0.15,15.101248,19.501568
1,mae,12,0.05,13.271411,20.282429
1,mae,12,0.075,13.181856,18.705545
