metric,area,comp,suff
mae,0.05,6.355112,22.693178
mae,0.075,7.87873,22.491005
mae,0.1,8.784644,22.348364
mae,0.15,10.312088,21.966028
mse,0.05,3.830637,32.915299
mse,0.075,5.386576,32.430228
mse,0.1,6.441298,32.077706
mse,0.15,8.397147,31.121128
