batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.431138,26.313377
0,mae,0,0.075,12.177393,28.004305
0,mae,0,0.1,13.21471,28.509155
0,mae,0,0.15,15.441134,29.475023
0,mse,0,0.05,8.749563,40.432732
0,mse,0,0.075,10.917906,44.670544
0,mse,0,0.1,13.162415,45.859734
0,mse,0,0.15,16.423889,47.777359
0,mae,1,0.05,11.076524,26.87472
0,mae,1,0.075,12.420325,28.51021
0,mae,1,0.1,13.263025,29.01701
0,mae,1,0.15,15.045301,30.23505
0,mse,1,0.05,9.500079,41.64032
0,mse,1,0.075,11.869957,45.527607
0,mse,1,0.1,12.844953,46.989311
0,mse,1,0.15,16.044338,50.179558
0,mae,2,0.05,10.214062,27.61396
0,mae,2,0.075,12.397035,29.457218
0,mae,2,0.1,14.255726,30.392067
0,mae,2,0.15,16.030918,31.322422
0,mse,2,0.05,8.062585,42.904408
0,mse,2,0.075,11.475468,47.463707
0,mse,2,0.1,14.708541,50.858608
0,mse,2,0.15,18.146839,52.892532
0,mae,3,0.05,11.139336,28.255737
0,mae,3,0.075,13.14703,29.466866
0,mae,3,0.1,14.528141,30.047535
0,mae,3,0.15,16.029743,31.236467
0,mse,3,0.05,9.943566,44.514359
0,mse,3,0.075,13.364311,47.681236
0,mse,3,0.1,16.174974,49.2565
0,mse,3,0.15,19.109779,51.260551
0,mae,4,0.05,9.619217,28.438087
0,mae,4,0.075,11.600262,29.860828
0,mae,4,0.1,13.439914,30.619637
0,mae,4,0.15,15.636818,31.90591
0,mse,4,0.05,7.794439,44.541817
0,mse,4,0.075,10.698603,48.026119
0,mse,4,0.1,13.366426,50.12923
0,mse,4,0.15,17.086321,53.204323
0,mae,5,0.05,10.959568,28.079163
0,mae,5,0.075,12.179029,29.706455
0,mae,5,0.1,13.719355,30.587452
0,mae,5,0.15,15.23315,31.91205
0,mse,5,0.05,9.557854,43.254864
0,mse,5,0.075,11.663942,47.023216
0,mse,5,0.1,13.428626,49.189613
0,mse,5,0.15,15.94726,53.287949
0,mae,6,0.05,10.970978,28.765263
0,mae,6,0.075,11.916265,30.142712
0,mae,6,0.1,12.713776,31.297234
0,mae,6,0.15,14.410528,32.430672
0,mse,6,0.05,8.794724,45.15799
0,mse,6,0.075,10.416238,48.751396
0,mse,6,0.1,11.504688,51.872047
0,mse,6,0.15,13.470517,55.121258
0,mae,7,0.05,8.64208,29.337685
0,mae,7,0.075,10.258793,30.291452
0,mae,7,0.1,11.579081,31.35107
0,mae,7,0.15,12.705358,32.302567
0,mse,7,0.05,5.95735,46.838989
0,mse,7,0.075,8.151213,49.410583
0,mse,7,0.1,10.359791,52.900978
0,mse,7,0.15,11.809291,55.010696
0,mae,8,0.05,9.355671,28.999071
0,mae,8,0.075,10.248775,30.051817
0,mae,8,0.1,10.90221,30.755463
0,mae,8,0.15,12.410469,31.762819
0,mse,8,0.05,6.696998,45.793991
0,mse,8,0.075,7.530734,48.520889
0,mse,8,0.1,8.940439,50.664406
0,mse,8,0.15,10.913971,53.868809
0,mae,9,0.05,9.364554,28.756149
0,mae,9,0.075,9.648643,30.327522
0,mae,9,0.1,10.092041,30.929871
0,mae,9,0.15,11.290839,31.48888
0,mse,9,0.05,7.204165,45.965263
0,mse,9,0.075,7.032005,49.688232
0,mse,9,0.1,7.257278,51.942436
